grid_point, number_available_obs
[0, 0],18.0
[0, 1],15.0
[0, 2],15.0
[0, 3],15.0
[0, 4],16.0
[0, 5],13.0
[0, 6],15.0
[0, 7],14.0
[0, 8],16.0
[0, 9],14.0
[0, 10],14.0
[0, 11],15.0
[0, 12],14.0
[0, 13],14.0
[0, 14],14.0
[0, 15],13.0
[0, 16],12.0
[0, 17],12.0
[0, 18],13.0
[0, 19],10.0
[0, 20],9.0
[0, 21],8.0
[1, 0],16.0
[1, 1],15.0
[1, 2],14.0
[1, 3],16.0
[1, 4],14.0
[1, 5],15.0
[1, 6],15.0
[1, 7],16.0
[1, 8],16.0
[1, 9],17.0
[1, 10],17.0
[1, 11],17.0
[1, 12],18.0
[1, 13],18.0
[1, 14],17.0
[1, 15],16.0
[1, 16],16.0
[1, 17],14.0
[1, 18],13.0
[1, 19],11.0
[1, 20],10.0
[1, 21],8.0
[2, 0],14.0
[2, 1],14.0
[2, 2],15.0
[2, 3],15.0
[2, 4],14.0
[2, 5],17.0
[2, 6],16.0
[2, 7],17.0
[2, 8],18.0
[2, 9],17.0
[2, 10],19.0
[2, 11],18.0
[2, 12],20.0
[2, 13],19.0
[2, 14],19.0
[2, 15],18.0
[2, 16],18.0
[2, 17],16.0
[2, 18],15.0
[2, 19],13.0
[2, 20],11.0
[2, 21],8.0
[3, 0],14.0
[3, 1],15.0
[3, 2],16.0
[3, 3],16.0
[3, 4],16.0
[3, 5],17.0
[3, 6],17.0
[3, 7],19.0
[3, 8],19.0
[3, 9],21.0
[3, 10],21.0
[3, 11],22.0
[3, 12],24.0
[3, 13],24.0
[3, 14],23.0
[3, 15],21.0
[3, 16],22.0
[3, 17],20.0
[3, 18],17.0
[3, 19],15.0
[3, 20],14.0
[3, 21],11.0
[4, 0],15.0
[4, 1],15.0
[4, 2],17.0
[4, 3],18.0
[4, 4],17.0
[4, 5],16.0
[4, 6],19.0
[4, 7],21.0
[4, 8],21.0
[4, 9],25.0
[4, 10],26.0
[4, 11],24.0
[4, 12],27.0
[4, 13],27.0
[4, 14],25.0
[4, 15],26.0
[4, 16],23.0
[4, 17],21.0
[4, 18],19.0
[4, 19],15.0
[4, 20],13.0
[4, 21],13.0
[5, 0],14.0
[5, 1],14.0
[5, 2],18.0
[5, 3],18.0
[5, 4],17.0
[5, 5],18.0
[5, 6],21.0
[5, 7],22.0
[5, 8],25.0
[5, 9],27.0
[5, 10],27.0
[5, 11],28.0
[5, 12],29.0
[5, 13],29.0
[5, 14],29.0
[5, 15],28.0
[5, 16],26.0
[5, 17],23.0
[5, 18],21.0
[5, 19],20.0
