grid_point, analysis_value
[0, 0],5281.917644733541
[0, 1],5301.679363281382
[0, 2],5332.935675112337
[0, 3],5351.563479139868
[0, 4],5352.079679932778
[0, 5],5375.7374212929135
[0, 6],5385.384659880745
[0, 7],5399.2788198053895
[0, 8],5414.870241611787
[0, 9],5443.583244007445
[0, 10],5460.286022903529
[0, 11],5498.051723922297
[0, 12],5518.223429836407
[0, 13],5566.490913541889
[0, 14],5577.355577064607
[0, 15],5651.357558866974
[0, 16],5689.178728665684
[0, 17],5725.040624265846
[0, 18],5774.885636358449
[0, 19],5835.314607874985
[0, 20],5896.817223013131
[0, 21],5964.436165102117
[1, 0],5282.271436441025
[1, 1],5306.296326994309
[1, 2],5332.872130137703
[1, 3],5352.610617230996
[1, 4],5356.056092861656
[1, 5],5373.907066807829
[1, 6],5383.401854143376
[1, 7],5399.318900769429
[1, 8],5406.8116605601335
[1, 9],5433.514646876181
[1, 10],5451.694289034731
[1, 11],5481.115946359185
[1, 12],5495.47072312572
[1, 13],5522.727133413548
[1, 14],5569.360151147602
[1, 15],5598.257986650231
[1, 16],5629.491191626508
[1, 17],5663.886716003704
[1, 18],5717.029310558806
[1, 19],5759.629754781403
[1, 20],5811.531905497846
[1, 21],5878.60856006862
[2, 0],5275.51738435298
[2, 1],5304.579408013156
[2, 2],5322.539050346455
[2, 3],5348.12983272376
[2, 4],5355.049501868121
[2, 5],5364.5138823682355
[2, 6],5381.642270555381
[2, 7],5397.2567556742415
[2, 8],5398.595077919525
[2, 9],5424.921170461977
[2, 10],5445.38368892522
[2, 11],5456.2027556524
[2, 12],5480.562312420232
[2, 13],5492.268697265057
[2, 14],5529.934154195596
[2, 15],5551.6851508861955
[2, 16],5579.33068096835
[2, 17],5610.586219592085
[2, 18],5648.243669864107
[2, 19],5697.7923634718645
[2, 20],5745.374284335201
[2, 21],5804.894119737888
[3, 0],5284.358068990981
[3, 1],5301.632525850284
[3, 2],5322.90459627475
[3, 3],5344.3911682067155
[3, 4],5353.366100719177
[3, 5],5359.7390335549335
[3, 6],5374.741579567362
[3, 7],5393.855639241405
[3, 8],5414.185200449585
[3, 9],5421.586112788322
[3, 10],5426.097388937314
[3, 11],5443.001911630865
[3, 12],5462.646587140183
[3, 13],5479.276316331719
[3, 14],5499.42535360141
[3, 15],5516.978442552612
[3, 16],5538.25183337147
[3, 17],5570.292198626036
[3, 18],5598.867384055628
[3, 19],5637.530023107818
[3, 20],5684.006875838619
[3, 21],5731.578827390593
[4, 0],5291.105602889267
[4, 1],5303.678284524576
[4, 2],5318.713489513646
[4, 3],5341.5559694642725
[4, 4],5347.446696930225
[4, 5],5361.288630277353
[4, 6],5379.004025638898
[4, 7],5388.670028000997
[4, 8],5403.172310151936
[4, 9],5414.95088611091
[4, 10],5423.566343438735
[4, 11],5439.476338211534
[4, 12],5447.854454246914
[4, 13],5463.272747465525
[4, 14],5480.423591897914
[4, 15],5501.117325669857
[4, 16],5516.98419058503
[4, 17],5540.184110278925
[4, 18],5565.170036163028
[4, 19],5593.0223834972185
[4, 20],5632.108438568906
[4, 21],5681.9192821320685
[5, 0],5283.223462874725
[5, 1],5292.0069739093415
[5, 2],5311.48451365966
[5, 3],5339.600302764746
[5, 4],5343.599966066247
[5, 5],5358.179295816908
[5, 6],5374.617697499652
[5, 7],5387.909918164447
[5, 8],5400.3953848653655
[5, 9],5410.983861360262
[5, 10],5428.576631531509
[5, 11],5432.441109936597
[5, 12],5441.711276883853
[5, 13],5456.8614382517535
[5, 14],5474.237960146989
[5, 15],5489.204777534741
[5, 16],5503.739197276792
[5, 17],5525.079698051654
[5, 18],5543.458318290874
[5, 19],5569.965195578616
[5, 20],5598.952762908353
[5, 21],5642.318908164321
[6, 0],5278.172397944634
[6, 1],5288.71210953322
[6, 2],5306.820653832874
[6, 3],5329.841729887676
[6, 4],5335.621264735735
[6, 5],5356.109997009195
[6, 6],5374.089393068707
[6, 7],5390.538700092349
[6, 8],5401.621674218568
[6, 9],5416.644438814901
[6, 10],5428.711376102326
[6, 11],5433.221158437914
[6, 12],5441.608979096099
[6, 13],5457.694868559734
[6, 14],5473.9574017883315
[6, 15],5486.402140308543
[6, 16],5502.924230956411
[6, 17],5517.430858155471
[6, 18],5532.656634020729
[6, 19],5554.562347186886
[6, 20],5582.183674393051
[6, 21],5615.077809270057
[7, 0],5268.478633726734
[7, 1],5283.721642207263
[7, 2],5314.886668078287
[7, 3],5334.032103298501
[7, 4],5336.368378997126
[7, 5],5357.5295639338365
[7, 6],5376.90447379497
[7, 7],5389.654178921075
[7, 8],5407.201284587503
[7, 9],5414.582599730914
[7, 10],5431.3620692398745
[7, 11],5439.44021808723
[7, 12],5453.464113311666
[7, 13],5465.339266204877
[7, 14],5480.123274906215
[7, 15],5492.119602654329
[7, 16],5506.35744714471
[7, 17],5521.669014159792
[7, 18],5533.85112524606
[7, 19],5551.578828677451
[7, 20],5575.1405548418825
[7, 21],5600.813950824282
[8, 0],5271.489201734594
[8, 1],5294.5435061206335
[8, 2],5315.997339848243
[8, 3],5334.969171318493
[8, 4],5347.6039642939795
[8, 5],5362.086012642545
[8, 6],5381.717515318856
[8, 7],5395.752142434554
[8, 8],5409.812937728037
[8, 9],5424.4258568756195
[8, 10],5437.281170826054
[8, 11],5449.08905483867
[8, 12],5467.5299440131075
[8, 13],5481.691687773181
[8, 14],5492.230993252467
[8, 15],5507.544909886647
[8, 16],5517.74396462811
[8, 17],5531.1456513165185
[8, 18],5542.1739582168975
[8, 19],5560.8020910480955
[8, 20],5576.4155040297865
[8, 21],5602.428816462652
[9, 0],5263.474680384381
[9, 1],5289.975104136223
[9, 2],5314.066126445305
[9, 3],5336.994533842304
[9, 4],5359.538633543194
[9, 5],5365.291051205631
