grid_point, analysis_value, analysis_increment
[0, 0],5321.359231031822,3.1758168177093467
[0, 1],5347.081678978782,12.143168976619563
[0, 2],5372.244590459767,19.213104810300138
[0, 3],5392.690107812521,17.646630336781527
[0, 4],5422.709375293834,25.431724011079496
[0, 5],5449.51267251535,32.51373117285584
[0, 6],5473.258666526098,38.50205531375468
[0, 7],5490.101417048666,40.155622599186245
[0, 8],5501.198369113356,39.82458838207276
[0, 9],5509.740919614559,39.5307949634298
[0, 10],5516.5654149419215,37.27248847080682
[0, 11],5530.243225599859,39.849871310309936
[0, 12],5551.7514865474595,47.75546816883434
[0, 13],5576.635298902036,55.67176374149494
[0, 14],5602.349308020242,61.28069175822293
[0, 15],5627.985896821596,67.24932724949122
[0, 16],5647.068908139287,69.67283277755178
[0, 17],5661.189874983939,68.23503849639656
[0, 18],5674.373874621658,65.09603290381892
[0, 19],5681.628315680377,58.24308639577066
[0, 20],5683.379000450691,51.27794363947487
[0, 21],5679.7298746322485,43.37170407621397
[1, 0],5298.084440254935,-6.884462244049246
[1, 1],5324.8231291038655,2.1799560076551643
[1, 2],5341.554391549749,1.1923410343188152
[1, 3],5362.380289995076,1.0897190199566467
[1, 4],5391.795892005839,8.056836744322936
[1, 5],5419.741583941759,14.733918312852438
[1, 6],5445.608985460907,20.941307758259427
[1, 7],5465.015345871522,23.040559902846326
[1, 8],5478.485910349343,23.28296222626159
[1, 9],5487.390699674571,22.617893182069565
[1, 10],5497.287457423084,23.78985997095242
[1, 11],5509.852340828228,26.41106821854828
[1, 12],5527.962780841596,32.683111161714805
[1, 13],5555.491609161582,45.58274855471427
[1, 14],5579.5362229897655,51.852862247736084
[1, 15],5605.961327096817,59.21081694913573
[1, 16],5626.586316959719,60.71174873938071
[1, 17],5647.339590454602,60.98284369071098
[1, 18],5664.395375119374,57.49359946479308
[1, 19],5677.726654122289,55.387260357461855
[1, 20],5683.108546500015,52.01785158771327
[1, 21],5682.351526354632,46.963853658973676
[2, 0],5275.181496099554,-15.585138446330348
[2, 1],5293.236800003937,-13.365208915631229
[2, 2],5308.891674180677,-13.830837683328355
[2, 3],5327.363008680578,-15.350761496516498
[2, 4],5357.267367823272,-8.657978204782012
[2, 5],5387.447089055823,-1.2393864881041736
[2, 6],5414.025300693068,4.4460818544721405
[2, 7],5435.655888398786,7.30028090063297
[2, 8],5446.732815302093,3.8098894232171006
[2, 9],5457.853051001277,5.1265159708427745
[2, 10],5466.556706659936,5.9316102146185585
[2, 11],5475.856773485122,6.831120103801368
[2, 12],5491.027107914346,12.258767183278906
[2, 13],5515.498917690928,24.623415774389287
[2, 14],5538.524800591588,32.15816449795784
[2, 15],5562.21887742116,37.0772103236086
[2, 16],5588.340902612502,40.80226569079423
[2, 17],5617.949666150457,44.0705342255842
[2, 18],5642.007399149,42.824832708531176
[2, 19],5663.244870290096,46.18402001283448
[2, 20],5675.7483812034225,48.5214543042448
[2, 21],5679.510907385442,47.02666730576766
[3, 0],5255.069332668756,-23.682528663624907
[3, 1],5268.342461484964,-22.405644856752588
[3, 2],5278.96698079813,-25.718927443565008
[3, 3],5297.325231382618,-26.89167910733704
[3, 4],5330.19407417992,-18.157990228004564
[3, 5],5360.55291504677,-11.165457009260535
[3, 6],5385.6997946735955,-6.19470874952367
[3, 7],5405.0970006989155,-4.717412687525211
[3, 8],5414.153491267809,-9.855906542841694
[3, 9],5423.086132666831,-10.1448325661122
[3, 10],5428.927418492651,-11.110931429245284
[3, 11],5434.3127728858735,-12.611480506127918
[3, 12],5446.363781726129,-8.56214211160841
